Chn,dec,id,Time,t,B0,B0,B0,,C0,,,,,,,
,178,000000B2,27626.75626,0.20565,-2,,,,14,,,,18,,,
,179,000000B3,27626.75652,0.20591,-3,,,,13,,,,17,,,
,355,163,27626.75677,0.20616,-179,,,,-163,,,,-159,,,
,560,230,27626.75703,0.20642,-384,,,,-368,,,,-364,,,
,803,323,27626.75729,0.20668,-627,,,,-611,,,,-607,,,
,1280,500,27626.75754,0.20693,-1104,,,,-1088,,,,-1084,,,
,1381,565,27626.75771,0.2071,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.75831,0.2077,-179,,,,-163,,,,-159,,,
,1381,565,27626.75874,0.20813,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.76019,0.20958,-179,,,,-163,,,,-159,,,
,1381,565,27626.76061,0.21,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.76223,0.21162,-179,,,,-163,,,,-159,,,
,1381,565,27626.76266,0.21205,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.76428,0.21367,-179,,,,-163,,,,-159,,,
,1381,565,27626.76471,0.2141,-1205,,,,-1189,,,,-1185,,,
,560,230,27626.76556,0.21495,-384,,,,-368,,,,-364,,,
,144,90,27626.76582,0.21521,32,,,,48,,,,52,,,
,152,98,27626.76607,0.21546,24,,,,40,,,,44,,,
,178,000000B2,27626.76625,0.21564,-2,,,,14,,,,18,,,
,355,163,27626.7665,0.21589,-179,,,,-163,,,,-159,,,
,803,323,27626.76676,0.21615,-627,,,,-611,,,,-607,,,
,1280,500,27626.76701,0.2164,-1104,,,,-1088,,,,-1084,,,
,1381,565,27626.76727,0.21666,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.76838,0.21777,-179,,,,-163,,,,-159,,,
,1381,565,27626.76881,0.2182,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.77043,0.21982,-179,,,,-163,,,,-159,,,
